	Taxon	Confidence
00a376a3e425c21e1ab0da1805a0981d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Hyphodontia;s__Hyphodontia_crustosa	0.998230919873813
00ad9bbb06b1bc39038e70f8509d9012	k__Fungi;p__Ascomycota	0.9859359674026
00b97c0c9f17375b365320e10a90d6b5	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.876760839344995
00cb285edf17396bd9b2ed67dffb3510	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides	0.983238127592315
00cc594245006d432d873a2499d66c16	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_nigrum	0.876408452293514
00ccf1e1703d86c0d955221e41d3f116	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Mycoacia;s__Mycoacia_aurea	0.997373045905001
00d4baf5c5895148b1d53aedfa6f3ae2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_oregonensis	0.865593625647544
00d72afe08abc741d6cb77e539f39c31	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__Hypoxylon;s__Hypoxylon_rubiginosum	0.999628148883431
00d9a68e40e5e1fd5620c987123032f2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Xenomeris;s__unidentified	0.733745603169647
00ee45be0f967154ca5f94a6d71028e0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Microascus	0.939871288392634
00eedceb49ff60fce7ff46566b2adf77	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Cronartiaceae;g__unidentified;s__unidentified	0.972039580708577
00f1ecb23e7c07a0ec3147b73d1c8d42	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_alternata	0.723582935193457
00f260f0298220d9302ce68473355cf2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae	0.80211274694734
00f2c63a9732e89265abd456d895c7ea	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_oregonensis	0.803280581526318
00f41889b2cf82859b704abc083734c6	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Leptosphaeria;s__Leptosphaeria_etheridgei	0.989677720964219
00f8d054046919deb1a543f496a920c1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Drechslera	0.997988610315428
010237644f0bbbdbd476e28ae27017d1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulales_fam_Incertae_sedis;g__Pseudoxenasma;s__Pseudoxenasma_verrucisporum	0.999106352325098
010e1e11cf9caae476e82de46afbf701	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycocentrospora;s__unidentified	0.912016061969292
011018eb9aa3d281433114eae7de48ab	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.968860939650205
011da395cc991efc7ff30661f449c00d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__Coprinopsis_rugosobispora	0.892512274230063
012ca8014396a4d46c4c6c9056889af6	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Irpicaceae;g__Ceriporia;s__Ceriporia_aurantiocarnescens	0.999999918732502
013a4329b38920a3497879e9190dbbd0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_alternata	0.732513109166768
013ce62f1051fc247ef7d6c43fc80226	k__Fungi;p__Ascomycota	0.876255085039477
013fe00163a2686bbdad118f88076721	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__unidentified;s__unidentified	0.760607974833034
0140799d0f3f47ec17bd93b204bc3458	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Hymenoscyphus;s__unidentified	0.742644595210296
0144f4fe4e953d2275b95903dfb8f799	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Seiridium;s__unidentified	0.774686735219401
01492be0320e1c2536951c50a3a69e88	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium	0.94773005945214
014b4e70f5b0cd2dfdae079510653b3b	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Xenopolyscytalum;s__Xenopolyscytalum_pinea	0.737673571913199
014e0335e12cef63dd6988a4ce95c004	k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina_wiesneri	0.999936812430853
015295c7c5c2b5d36d11c24bb4e23042	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium;s__unidentified	0.98903817542268
015711e9574343e7595e2d0d5c74c679	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__unidentified;g__unidentified;s__unidentified	0.750034851420265
015d0013c66db6b05716ac824875e9c7	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae	0.700820701248289
015fbc6506678cd4d54d8961c4e16aa5	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.984362104100524
015fd4e92a1b50c196c62dbaf9bb4ff7	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.999489636732162
016ef4cc4cc413b66fc83dfef36281c9	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__unidentified;s__unidentified	0.756486286821294
017ace8938e98bd483377832f379ffc6	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta;s__Neoascochyta_tardicrescens	0.817096833261001
017ee9c595ba1b722394244f1a3cfd55	k__Fungi;p__Ascomycota	0.988355798605757
018112415df455e54adf5739f9f6a19e	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Scutellinia;s__Scutellinia_torrentis	0.999728783249375
018937c4c56de805d33622f665b68c6d	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	0.931905891159402
01893dc47acc037bc0e5675bfa0a536a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus	0.999999980823924
018b5d3b1415aa35b3506221ec4f52ec	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__unidentified	0.979700478068461
018becfdfb491feb2430415950b220b9	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis	0.858313117296646
